,commands
106279,Um... with our minds?
106280,"No! With this rope! I'm a messed-up kid, I'm not Magneto."
106281,Diggs and Freedom!
106282,"""In his ecstasy! Then off, off forth on swing!"""
106283,Where's my bird going?!
106284,Wherever he wants. He's free now.
106285,"If you see the stork what brings us babies, kill it!"
106286,Now  I'm afraid one-day passes don't last forever. And I'm probably not going to get another one for quite a while.
106287,Wait. When will I see you? You can't quit the falconry club!
106288,"It's all yours, Mr. President."
106289,"Well, I guess some delicate birds are safer in a cage."
106290,"I had thought of it as a therapeutic milieu, but now ""cage"" is stuck in my head, so thanks. And thanks for being my friend."
106291,"when I pushed you away, I was really pushing away the thought of losing you."
106292,How long did it take you to think that up?
106293,Two hours with the therapist.
106294,She came in on a Saturday. Missed her kid's karate demonstration. He was goin' up a belt.
106295,"Mom, you didn't cook the falcon?!"
106296,Of course not. It's just duck.
106297,"Pass the peas, please."
106298,"Neptune. Eighth planet from the sun. A mystery now, we hope to have close-up photos from Voyager Two in Nineteen eighty-nine."
106299,"We do have them! They're my home screen! Miss Hoover! Once again, the lesson plan I prepared would've covered this topic much better, but I can see..."
106300,"It's Tuesday, Lisa. Taco Tuesday."
106301,Taco Tuesday! Taco Tuesday!
106302,Oh no! I'm about to become another moppin' statistic!
106303,"There's only room for one of us, Ethel."
106304,"that's your sixth taco. You know, Whitman says, ""If anything is sacred, the human body is sacred""."
106305,"Congratulations, boys, you made it through another Taco Tuesday. Back in the bucket till next week."
106306,Won't those vegetables go bad?
106307,Nope. They're genetically modified to stay fresh. Just don't ask how old the Jell-O is.
106308,"Overreactor dot org warns that over half of the vegetables sold in this country are ""Genetically Modified Organisms,"" whose effect on humans is... unknown!"
106309,"Whoa! Mom, you made me over-swipe!"
106310,Your parent's credit card has been charged twenty dollars!
106311,"I have to get to the church. Helen Lovejoy is posting the spring volunteer signup sheet. In five minutes, every good task will be taken! Dang it!"
106312,Jasper Beardley! You'll never make it!
106313,"Bake sale -- taken... candle snuffing -- taken... baby shusher, miscellaneous choir support -- everything's taken! All that's left is..."
106314,Teen abstinence counseling! You get to pass out abstinence pledges and make sure the kids sign their John Han-bleeps.
106315,"But Ned, saying nay is your thing."
106316,Not this month! Edna signed us up for a tango class. It was the only way I could avert wine tasting.
106317,"Look, I'm really not comfortable talking about S-E-X with K-I-D-S."
106318,Mom... can I visit Bob?
106319,"Oh, it's not that hard. Just tell them that God wants them to ignore everything in their bodies that God is making happen."
106320,We took the pledge!
106321,We won't have sex until we're married.
106322,To each other.
106323,Their skipping lessons are really payin' off!
106324,"Hello. Hello. I'm-I'm Marge Simpson. And I'm here to talk about a-a-a wonderful, beautiful thing--"
106325,"Speaking of beautiful things, tongue me, babe."
106326,"How many of you are here for the free cookies, because we've discontinued that."
106327,One of our brightest and most meddlesome students called this meeting... somehow... to discuss an urgent menu matter. Lisa?
106328,Our school cafeteria is serving G.M.O.s -- genetically-modified organisms.
106329,"And now in order to thoroughly explore the issue, I'd like to play the first video that came up in my web browser when I typed in ""G.M.O."" plus ""danger"" plus ""question mark""."
106330,"If there's one thing scientists love it's money. Money, money, money! And that's been true of scientists ever since caveman times."
106331,"We need look no further back than the ancient Mayans, who cross-bred plants and animals in an unholy experiment in what is now a resort that charges thirty dollars a night to valet park."
106332,"Once you're there, they've gotcha."
106333,The Mayans didn't listen... to themselves.
106334,"Yet, today, we toy with our fate by using retroviruses to create these so-called ""super foods"". Are we doomed to repeat an event that destroyed all human life? The answer is in your mouth."
106335,Um... that video seemed a little... unscientific.
106336,"My name is Jenny McCarthy, and I endorse this tirade."
106337,Oh my God! It's worse than I thought. Everybody wait here while I do some actual research. Nobody form any opinions while I'm gone.
106338,"Well, hurry! We have no minds of our own!"
106339,I say we do not categorically ban genetically modified organisms.
106340,"Well, G.M.O.s are resistant to pests, disease, and drought. It's just possible that G.M.O.s can actually end world hunger!"
106341,I say let's get these G.M.O.s inside our children! Pronto!
106342,Way ahead of you!
106343,"I'm eating the food of the future. Beep, boop. What is... love? Boop, beep, boop."
106344,I'd like to thank you for mollifying these land apes. We'd like you and your family to visit us at the Monsarno research campus.
106345,"Ooh, campus! Do you have a statue of the founder I can stick a funny hat on?"
106346,"Simpsons, we're trying to change the world, one molecule at a time."
106347,Sounds like that would take a while.
106348,"Oh, you're right. Everyone, three molecules at a time."
106349,"I'll be home late, honey. Yeah, three molecules now."
106350,"Well, it's nice to see for once a corporation that does good work and cares about people."
106351,"Yes,  we've finally put to bed the silly notion that our company is in any way evil. Now, say hello to our Chief Scientist!"
106352,Doctor Sideshow Bob.
106353,Real doctor or PhD?
106354,All right. I'll leave you and Bob in this locked room to get reacquainted.
106355,"Simpsons, there's no need for alarm."
106356,That's not for you to suck!
106357,"Now, where was I? Right, no need to worry. I'm still technically shawshanking it at Springfield Penitentiary."
106358,This is getting boring. Either murder us or tell us how you got here.
106359,The inanity of the vanity license plate puns was slowly driving me mad.
106360,"So when Monsarno Labs asked for experimental subjects, I gladly volunteered."
106361,My job was to make sure the experiments wouldn't be too painful for the test monkeys.
106362,I don't know what we're doin' here. We'll pick it up after lunch.
106363,I wrote up my results and went from subject to scientist.
106364,Look at me! I'm Sideshow Bob!
106365,Foolish boy! That's phosphoric acid!
106366,A mere sip would've dissolved a hole in your stomach the size of a silver dollar!
106367,"Yakety, yakety, yak."
106368,"""The spotted hawk accuses me, he complains of my gab."""
106369,"""I too am not a bit tamed, I too am untranslatable""... Walt Whitman, ""Leaves of Grass""."
106370,Very good.  you always were the one rose petal floating atop the cesspool that is the Simpsons.
106371,/ That's mean.
106372,"If you're done, our chief scientist has to get back to work. Our corn on the cob has become self-aware."
106373,Wait! Wait! Won't you visit me again? Let me show you I really am trying to make a better world.  we can talk Walt Whitman... And  I think you'd enjoy the company of the campus's lazy overfed squirrels.
106374,Overfed? I don't know this word.
106375,"Visit me, Lisa. We can discuss poetry, fine art, and if we must, jazz."
106376,Why would you want to do that? He's tried to kill us.
106377,"You. He's tried to kill you. Me, I think he likes."
106378,And I refuse to concede a mind that thinks so much like mine can be all bad. Mom?
106379,Don't you think the parts that aren't evil are a little pretentious?
106380,Absolutely. We're talking about  right?
106381,This is the pinnacle of conversation around here.
106382,Fine. I'll take you. They have this cool psych class at the campus I sat in on.
106383,That was a sexual harassment seminar!
106384,It doesn't matter. I'm taking it pass-fail.
106385,"Blowing off steam in the crafts room, Marge?"
106386,"No! I'm not giving up on reaching those kids, and I might just have a secret weapon."
106387,Mm hmm. Is it finger puppets?
106388,"Well, we haven't had finger puppets in this church since Reverend Brogan was arrested."
106389,But I suppose enough time has passed.
106390,And that's why Nancy No is the most popular girl in Promiseville High.
106391,I prefer the modern thinking of Yolanda Yes.
106392,And I think I'd have a shot with Mabel Maybe.
106393,I am so tired of those kids sniggering.
106394,"Uh-oh. It's Horndog Hank. Well, Nancy knows how to keep him away."
106395,"Darn it, they're stuck."
106396,"Um, can I take one of those girl puppets home? I won't do nothin' to it."
106397,YOU SAY MODIFIED TO-MAY-TO / I SAY MODIFIED TO-MAH-TO...
106398,I SAY ENGINEERED PO-TAY-TO / YOU SAY ENGINEERED PO-TAH-TO... POTATO!
106399,LET'S SPLICE SOME D.N.A.!
106400,That is my first non-evil laugh in years.
106401,"Bob, there's one thing I've gotta know: are you plotting revenge?"
106402,"I don't plot revenge anymore. It's like love: if it happens, it happens. Now, how 'bout those s'mores?"
106403,You already ate all the chocolate bars.
106404,That's why I've got to get the marshmallows down fast.
106405,I like how they cut them down from a hundred and forty characters to a more manageable twenty characters.
106406,"Another seminar tomorrow. I just wish I could connect with those teenagers, since it seems like we'll never have any."
106407,teens can't control their urges. It's why there's never been a teenage President.
